rating,ulasan
bintang 5,baru mau coba cushionnya semoga sesuai dan cocok dengan kulit aku.. thankyou seller sukses selalu usahanya dan jadi berkah lancar.. keren banget packagingnya walaupun bel...
bintang 5,Belum tau awet atau ngga. Semoga awet dan cocok buat aku. Untuk shade beige ternyata masih keputihan. Harus nya ambil tergelap nya nomor 5. okelah kalo bagus beli refilln...
bintang 5,"very fast respon, barang datang sesuai dengan pesanan, packing mudah2n aman karena pake bubble wrap juga"
bintang 5,Suka banget dengan penampilan nya yang terkesan mewah. Pengemasan baik dan produk tiba dengan selamat.
bintang 4,"belum dibuka soalnya masih punya, sebelumnya dibeliin yang ivory, tapi terlalu cerah, mudah mudahan ini cocook"
bintang 5,packing aman walaupun 1 barang..dpet d harga 95 lg promo tokped udah lama incer ini dipakainy awet seharian utk kulit muka  kombinasi ak..makasih
bintang 5,Barang sampai dengan selamat. tidak ada yang cacat. produk andalan untuk makeup sehari-hari dikondisi luar dan terik matahari
bintang 5,"Baguusss, mayan nampol hasilnya di kulit coveragenya oke :)"
bintang 5,"bahannya ringan, mudah diserap, bagus banget, sudah repurchase berkali kali. pokoknya keren deh.! cus cobain Gez!"
bintang 5,"cocok sama warnanya, truz kerasa ringan banget di kulit. love it😍❤️❤️"
bintang 5,tipe kulitku berminyak tipe kulitku sensitif under tone kulitku netral
bintang 5,"cushion ini cocok banget di aku, coverage nya mantap, bener bener favorit cushion aku. terimakasih skintific. semoga terus mempertahankan kualitas produk"
bintang 5,"tipe kulit berminyak dengan undertone netral,coba beli refill dulu krn mo Tau spt apa di kulit saya.
ternyata sebagus itu ah,, cakep bgt😁😁...
saya beli Ivory krn sebelu..."
bintang 5,belum dicoba sih. semoga mulai dari shade cocok ga bikin crack juga gak overclaim. baru pertama kali pakai
bintang 5,barang ori bagus bet dah. buat beliin istri sihh. yang sayang istri boleh bettt
bintang 5,"Pembelian kedua setelah puas dengan pembelian yg pertama.
Coverage-nya bagus dan cocok di kulit saya."
bintang 5,"semoga ga abu2 pas dipakaibyaa. soalnya baru pertama kali coba cushion dan shade ini, packingannya oke bgt, ga ada penyok sama sekali di bungkus barangnya. aman terkendal..."
bintang 5,"tipe kulitku kombinasi under tone kulitku cool
mantap nge covernya sampe tahan seharian, sekali tap udah bisa buat semuka 😍 under tone kulitku warm"
bintang 5,"bahannya ringan, mudah diserap, bagus banget, sudah repurchase berkali kali. pokoknya keren deh.! cus cobain Gez!"
bintang 5,"cocok sama warnanya, truz kerasa ringan banget di kulit. love it😍❤️❤️"
bintang 5,tipe kulitku berminyak tipe kulitku sensitif under tone kulitku netral
bintang 5,"cushion ini cocok banget di aku, coverage nya mantap, bener bener favorit cushion aku. terimakasih skintific. semoga terus mempertahankan kualitas produk"
bintang 5,"tipe kulit berminyak dengan undertone netral,coba beli refill dulu krn mo Tau spt apa di kulit saya.
ternyata sebagus itu ah,, cakep bgt😁😁...
saya beli Ivory krn sebelu..."
bintang 5,belum dicoba sih. semoga mulai dari shade cocok ga bikin crack juga gak overclaim. baru pertama kali pakai
bintang 5,barang ori bagus bet dah. buat beliin istri sihh. yang sayang istri boleh bettt
bintang 5,"Pembelian kedua setelah puas dengan pembelian yg pertama.
Coverage-nya bagus dan cocok di kulit saya."
bintang 5,"semoga ga abu2 pas dipakaibyaa. soalnya baru pertama kali coba cushion dan shade ini, packingannya oke bgt, ga ada penyok sama sekali di bungkus barangnya. aman terkendal..."
bintang 5,"tipe kulitku kombinasi under tone kulitku cool
mantap nge covernya sampe tahan seharian, sekali tap udah bisa buat semuka 😍 under tone kulitku warm"
bintang 5,"cocok d kulit saya,,,warna cerah untuk muka saya,,, tekstur cair langsung meresap,,, hasilnya sangat memuaskan"
bintang 4,"Baru pertama kali coba, semoga cocok dan warnanya juga udah sesuai dengan kulit aku
Full coverage"
bintang 5,"coverage nya mantep banget, ngecover banget😍 emang kalo soal coverage skintific gaada tanding juara deh pokoknya😍 puff nya jg udah teardrop dan untung shadenya pas, sbl..."
bintang 5,"semoga bagus dan cocok shade nya… agak sedikit oksidasi, belum dicoba lgs ke wajah krn datangnya malam.."
bintang 5,"Dapet harga 105rb mayan banget hehe
Tapi kek nya kurang cocok di aku dehh"
bintang 5,"Sesuai deskripsi, warna cocok buat sehari-hari"
bintang 5,"Dipake selalu flawless ga ngecrack sama sekaliii✨ thanks yaa sampai 3hari, kebetulan cushion ku sudah habis dan hari sabtu tante ku pesta, untung sampai nya sblm hari H t..."
bintang 5,warna petal di kulit aku yang sawo matang bner2 super2 cocok😍 so flawles dan emg se tahan itu
bintang 5,Ini langganannn akuuu skinyific cocok bangrt buat kulittt nyamann dan tingan di kulit gak bikin warna abu di wajah dan sanagata. Sokcksnaiskalnbs. Buruanannn belii yang m...
bintang 4,"under tone kulitku netral ada flek dipipi, sedikit menyamarkan dan transfer ke masker, bagus si.. tp syng ternyata brand asal kanada yng tdk mengakui negara Palestina.. f..."
bintang 5,"cocok d kulit saya,,,warna cerah untuk muka saya,,, tekstur cair langsung meresap,,, hasilnya sangat memuaskan"
bintang 4,"Baru pertama kali coba, semoga cocok dan warnanya juga udah sesuai dengan kulit aku
Full coverage"
bintang 5,"coverage nya mantep banget, ngecover banget😍 emang kalo soal coverage skintific gaada tanding juara deh pokoknya😍 puff nya jg udah teardrop dan untung shadenya pas, sbl..."
bintang 5,"semoga bagus dan cocok shade nya… agak sedikit oksidasi, belum dicoba lgs ke wajah krn datangnya malam.."
bintang 5,"Dapet harga 105rb mayan banget hehe
Tapi kek nya kurang cocok di aku dehh"
bintang 5,"Sesuai deskripsi, warna cocok buat sehari-hari"
bintang 5,"Dipake selalu flawless ga ngecrack sama sekaliii✨ thanks yaa sampai 3hari, kebetulan cushion ku sudah habis dan hari sabtu tante ku pesta, untung sampai nya sblm hari H t..."
bintang 5,warna petal di kulit aku yang sawo matang bner2 super2 cocok😍 so flawles dan emg se tahan itu
bintang 5,Ini langganannn akuuu skinyific cocok bangrt buat kulittt nyamann dan tingan di kulit gak bikin warna abu di wajah dan sanagata. Sokcksnaiskalnbs. Buruanannn belii yang m...
bintang 4,"under tone kulitku netral ada flek dipipi, sedikit menyamarkan dan transfer ke masker, bagus si.. tp syng ternyata brand asal kanada yng tdk mengakui negara Palestina.. f..."
bintang 5,"Cocok dikulit, pengiriman cepet banget. Pokoknya topmarkotop"
bintang 5,tipe kulitku berminyak cocok pakai skintific
bintang 5,"cocok. sudah bbrp kali pakai
pengiriman cepat, cuma 1hr saja. packing safety"
bintang 5,sufah diterima dengan baik. fotonya maaf berbeda. tetapi brg diterima baik dan sesuai.. kualitas oke.
bintang 5,Diterima dengan selamat. Coba Niacinimide 10%. Semoga cocok di kulit
bintang 5,"Aaa seneng banget dapet harga murahhh  karna promo 9.9
terimakasih admin"
bintang 5,"pengiriman super cepat, barang aman , terimakasih min"
bintang 5,"Skintific cushion bagusss coveragenya, ini beli yg refill, ad voucher disc jdi 40k aja murah bangettt, pengiriman cepet sampai"
bintang 5,"tipe kulitku normal.. ini enak banget dipakai karena full cover.. dan di kulit ga terlihat terlalu kering, tampilan di muka cakep tp ga berat. bagus dipakai sehari2. than..."
bintang 5,baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik
bintang 5,"cocok d kulit saya,,,warna cerah untuk muka saya,,, tekstur cair langsung meresap,,, hasilnya sangat memuaskan"
bintang 4,"Baru pertama kali coba, semoga cocok dan warnanya juga udah sesuai dengan kulit aku
Full coverage"
bintang 5,"coverage nya mantep banget, ngecover banget😍 emang kalo soal coverage skintific gaada tanding juara deh pokoknya😍 puff nya jg udah teardrop dan untung shadenya pas, sbl..."
bintang 5,"semoga bagus dan cocok shade nya… agak sedikit oksidasi, belum dicoba lgs ke wajah krn datangnya malam.."
bintang 5,"Dapet harga 105rb mayan banget hehe
Tapi kek nya kurang cocok di aku dehh"
bintang 5,"Sesuai deskripsi, warna cocok buat sehari-hari"
bintang 5,"Dipake selalu flawless ga ngecrack sama sekaliii✨ thanks yaa sampai 3hari, kebetulan cushion ku sudah habis dan hari sabtu tante ku pesta, untung sampai nya sblm hari H t..."
bintang 5,warna petal di kulit aku yang sawo matang bner2 super2 cocok😍 so flawles dan emg se tahan itu
bintang 5,Ini langganannn akuuu skinyific cocok bangrt buat kulittt nyamann dan tingan di kulit gak bikin warna abu di wajah dan sanagata. Sokcksnaiskalnbs. Buruanannn belii yang m...
bintang 4,"under tone kulitku netral ada flek dipipi, sedikit menyamarkan dan transfer ke masker, bagus si.. tp syng ternyata brand asal kanada yng tdk mengakui negara Palestina.. f..."
bintang 5,"Cocok dikulit, pengiriman cepet banget. Pokoknya topmarkotop"
bintang 5,tipe kulitku berminyak cocok pakai skintific
bintang 5,"cocok. sudah bbrp kali pakai
pengiriman cepat, cuma 1hr saja. packing safety"
bintang 5,sufah diterima dengan baik. fotonya maaf berbeda. tetapi brg diterima baik dan sesuai.. kualitas oke.
bintang 5,Diterima dengan selamat. Coba Niacinimide 10%. Semoga cocok di kulit
bintang 5,"Aaa seneng banget dapet harga murahhh  karna promo 9.9
terimakasih admin"
bintang 5,"pengiriman super cepat, barang aman , terimakasih min"
bintang 5,"Skintific cushion bagusss coveragenya, ini beli yg refill, ad voucher disc jdi 40k aja murah bangettt, pengiriman cepet sampai"
bintang 5,"tipe kulitku normal.. ini enak banget dipakai karena full cover.. dan di kulit ga terlihat terlalu kering, tampilan di muka cakep tp ga berat. bagus dipakai sehari2. than..."
bintang 5,baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik baik
bintang 5,"cocok d kulit saya,,,warna cerah untuk muka saya,,, tekstur cair langsung meresap,,, hasilnya sangat memuaskan"
bintang 4,"Baru pertama kali coba, semoga cocok dan warnanya juga udah sesuai dengan kulit aku
Full coverage"
bintang 5,"coverage nya mantep banget, ngecover banget😍 emang kalo soal coverage skintific gaada tanding juara deh pokoknya😍 puff nya jg udah teardrop dan untung shadenya pas, sbl..."
